,account_id,account_name,ad_id,area,area_name,area_v2,category,category_name,image,latitude,longitude,location,list_id,list_time,price,region_name,rooms,size,street_name,subject,type,ward_name
166,22380740,Đức Nguyễn ,157083408,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/fQVtXunqxseAmfznJnXdeykV_lzTTXZsGg3CG6BZShk/preset:listing/plain/53937f453920b61622c6163f9a23fb89-2876794859698815699.jpg,10.7884,106.674,"10.7884,106.674",116002525,1714703402000.0,6600000000.0,Tp Hồ Chí Minh,2.0,27.0,Trường Sa,Bán nhà mặt tiền đường Trường Sa Quận 3,s,Phường 12
167,26952949,Long,157083228,98,Quận 3,13098,1010,Căn hộ/Chung cư,https://cdn.chotot.com/ulVzmUpzs2TSZDmSaDBgpL5BPdF-1AYzIOZuItoPohg/preset:listing/plain/811e2f909119a9f8bb9f1da397ec99a1-2876794311717096999.jpg,10.786,106.6696,"10.786,106.6696",116002334,1714703125000.0,3700000000.0,Tp Hồ Chí Minh,2.0,83.0,Cmt8,"Chủ nhà bán CC 590 CMT8 Q.3. DT 83m2, 2P, 2WC. Giá bán 3,7 tỷ",s,Phường 11
168,19863387,BẢO ,156843677,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/VCZ2sI4SFQ8rW9C0OiE9KtkjUH9LeONHtZqGUw4-EJU/preset:listing/plain/b519a806ba70b831495c968392d4fdfb-2875417506164154230.jpg,10.7786,106.6801,"10.7786,106.6801",115797601,1714701810463.0,7450000000.0,Tp Hồ Chí Minh,3.0,62.0,Đường Cách Mạng Tháng 8,"BÁN NHÀ QUẬN 3 "" CMT8 "" HẺM OTO 1/ GẦN MT DT 4.1x14m CHỈ 7.xx TỶ !!",s,Phường 10
169,25908083,NHẬT VŨ,156790816,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/YxyZzQuB2QFOQlbAht8NwrE693W6QVtxNXVy_fZHUQc/preset:listing/plain/4bbc065fc5bfe1d6504e8c594e975b43-2875212169864180099.jpg,10.7891,106.675,"10.7891,106.675",115752480,1714700760852.0,15500000000.0,Tp Hồ Chí Minh,3.0,38.0,Lê Văn Sỹ,"Cần bán nhà khu trung tâm Q3,hẻm xe hơi quay đầu,ngay trường,st,chợ,bv",s,Phường 12
170,11864047,Nhà Phố Trung Tâm Sài Gòn,155298860,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/adXo_ym4CFzrQjVzorZCujfSGBxaUNh4mCWV3Fy93J8/preset:listing/plain/08d39663afad94e7fed8baa57307d4df-2868811398896628386.jpg,10.7877,106.6919,"10.7877,106.6919",114472633,1714700562000.0,32000000000.0,Tp Hồ Chí Minh,5.0,67.0,Võ Thị Sáu,Hàng Thơm Kẹt Tiền Bán Gấp MT Võ Thị Sáu P6 Quận 3 4.5x18m 7 Lầu 32 tỷ,s,Phường Võ Thị Sáu
173,4809373,Thanh Đài,157080330,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/9Z_wOs-T5_fnAcyalrdukPCozX0DHNaCGe_WNvU6hzI/preset:listing/plain/991ece160e9f9489c25427d7da0904aa-2876785950684849032.jpg,10.7886,106.6852,"10.7886,106.6852",115999799,1714698243000.0,5700000000.0,Tp Hồ Chí Minh,3.0,22.0,Đường Lý Chính Thắng,Nhà bán 3 Tầng +ST - hẻm thông 3m gần MT đường Lý Chính Thắng P8Q3,s,Phường Võ Thị Sáu
174,20955532,Ninh mặt tiền,156812355,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/ex6uRo6WHQ0H-SBSpDIhga2W6uhKDO9r34Rxxx1nzDg/preset:listing/plain/ca75898d858de166822ae593ea2e6080-2875292733740982851.jpg,10.7677,106.6813,"10.7677,106.6813",115772242,1714697775000.0,11500000000.0,Tp Hồ Chí Minh,2.0,33.0,Bàn Cờ,"Bán nhà mật tiền kinh doanh Bàn Cờ, P2, Q3, 33m2, 2 tầng, thu",s,Phường 2
175,22536171,BÙI KIM KHOA,157080131,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/oronJRAY9-f-it6aRSxml_hfBQdj1Jtg4VZpH_v7Uq8/preset:listing/plain/f156070656a0c213cb9210fe3e3a0a89-2876785111306845766.jpg,10.7861,106.681,"10.7861,106.681",115999623,1714697698000.0,16000000000.0,Tp Hồ Chí Minh,2.0,110.0,Lê Văn Sỹ,Gía Rẻ Quận 3 - HXH Lê Văn Sỹ - 110m2 (4.7x22) -3 tầng  👉 Chỉ 16 tỷ TL,s,Phường 14
176,25940068,Huỳnh Anh Thương,157080032,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/n2BP4FczwfxoQbkZyaSnym2oYKIlvTTnll1sp1084Qk/preset:listing/plain/17aebf22fdd21619878d53bd0c18bb4d-2876784704922107462.jpg,10.786,106.6662,"10.786,106.6662",115999525,1714697402000.0,8200000000.0,Tp Hồ Chí Minh,2.0,81.0,Đường Cách Mạng Tháng 8,CHỦ CẦN TIỀN THANH KHOẢN NGÂN HÀNG CẦN BÁN GẤP.,s,Phường 11
177,739570,Phương,157079836,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/FKQXzWHmuBDnaRj6VB1Ci88CjQYGqPg_BbcPRvxM63g/preset:listing/plain/bb03aebc1e55c51a0f4f9f1c724d25bf-2876782752143963911.jpg,10.776,106.6828,"10.776,106.6828",115999349,1714696768000.0,7500000000.0,Tp Hồ Chí Minh,3.0,36.0,Điện Biên Phủ,Nhà trong chợ Vườn Chuối q3,s,Phường 4
178,22320486,Nhựt Minh,156589156,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/q4LFOPnc-1GFGqDbL6JH_wVIRJxUkg5zKxAgzBo6LvQ/preset:listing/plain/e80d6a91088d5852e8803e848092b810-2874325789265654900.jpg,10.7892,106.6781,"10.7892,106.6781",115580147,1714694442000.0,5900000000.0,Tp Hồ Chí Minh,2.0,32.0,Trần Quang Diệu ,nhà đẹp cần bán đường Trần Quang diệu F14Q3,s,Phường 14
179,22536171,BÙI KIM KHOA,157078945,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/WFSs1fXA0iZXv9cA7SSw4IC9--hD4jwauDR0oRnHpLM/preset:listing/plain/3ac4dca9308da80bea8cd4c538d724fc-2876774451684287368.jpg,10.7861,106.681,"10.7861,106.681",115998553,1714691289000.0,12000000000.0,Tp Hồ Chí Minh,4.0,70.0,Lê Văn Sỹ,Quận 3 - Lê Văn Sỹ - Cách HXH 20m - 70m2(5x14) - 4 tầng - Chỉ 12 tỷ TL,s,Phường 14
180,4928010,đặng xuân liêm,154610508,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/D6zmuLmYDNQma5VQ3bJbAT9wLjDd7z8tEYcX_loFqHM/preset:listing/plain/1187317d95b284affcc86744f97a760a-2865634032292803473.jpg,10.77,106.682,"10.77,106.682",113875952,1714689138358.0,4400000000.0,Tp Hồ Chí Minh,2.0,32.0,Nguyễn Đình Chiểu,"Nhà 32m2 Nguyễn Đình Chiểu, 3 tầng đúc giả giá 4,4 tỷ",s,Phường 5
181,24940171,Nguyễn Ngọc Trúc Mai,157078181,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/waJGSg7UVMyHMflUdgBEydzvRRx3qmulgKhLmkj8ZI8/preset:listing/plain/cf6c20eef1ce8533193a1b23461c6a36-2876738358706748998.jpg,10.7892,106.675,"10.7892,106.675",115997998,1714669836000.0,11800000000.0,Tp Hồ Chí Minh,9.0,54.0,Đường Lê Văn Sỹ,"CHDV6 tầng,54m2,9 phòng,HXH Lê Văn Sỹ,Quận 3,thu nhập 620tr/năm,11.8TỶ",s,Phường 12
